id,text,hashtags,date,retweets,user,stock,sentiment
1331912379588780032,RSS – Researchers show how to steal a Tesla Model X in a few minutes Boffins have @ADanielHill https://t.co/WMiXQ9js2m #news #rssfeed,"['news', 'rssfeed']",2020-11-26,0,"{'date_created': '2017-8-08', 'id': 894721498933583872, 'followers': 16515, 'friends': 7121}",Tesla,-0.2
1331912362878775296,"@Scobleizer @Tesla @elonmusk ""saved more lives than anyone I can think of""

Well, then you must not think much.

Th… https://t.co/3LX8dtxYM2",[],2020-11-26,0,"{'date_created': '2019-3-23', 'id': 1109540240606351360, 'followers': 110, 'friends': 614}",Tesla,0.175
1331912318016483328,"@DoppelKomma @X4Tesla @f3_designer @bentv_sh @KelvinYang7 I'm certain they could make great electric cars, its just… https://t.co/iIglXrAvkc",[],2020-11-26,0,"{'date_created': '2015-12-16', 'id': 4502758282, 'followers': 3993, 'friends': 2856}",Tesla,0.5071428571428571
1331912316376461314,"@simonwesterlund @coffeehustler @Scobleizer @Tesla @elonmusk And because he broke the rules, the AI engine received… https://t.co/mikdBITtiM",[],2020-11-26,0,"{'date_created': '2011-2-24', 'id': 257180242, 'followers': 122, 'friends': 525}",Tesla,0.0
1331912315180965889,@kathyf @Scobleizer @Tesla @elonmusk AGREED.,[],2020-11-26,0,"{'date_created': '2008-7-22', 'id': 15542781, 'followers': 30515, 'friends': 7834}",Tesla,0.0
1331912175011639296,"@jpr007 @luisenblas @freshjiva @AudeIdScire Yes, you are right, equity is invest in future.... but in my view consi… https://t.co/Pe8SNoL01W",[],2020-11-26,0,"{'date_created': '2012-11-15', 'id': 950103050, 'followers': 3741, 'friends': 367}",Tesla,0.14285714285714285
1331912127632838656,"@BergAslak Well, that’s if you only look at the cars themselves, not the tech, not the trouble competitors are havi… https://t.co/aT2iG07D04",[],2020-11-26,0,"{'date_created': '2011-10-14', 'id': 390936754, 'followers': 2551, 'friends': 4370}",Tesla,-0.1
1331912088013443074,@Brett_Swanson7 @td_aaron elevator safety isn't in the hands of one company and you're more likely to die on the st… https://t.co/nrGpZ7tWYz,[],2020-11-26,0,"{'date_created': '2007-10-29', 'id': 9779082, 'followers': 7409, 'friends': 1305}",Tesla,0.25
1331912086046134275,"Atomized Ferrosilicon Powder Market
https://t.co/yKMye1ynaG",[],2020-11-26,0,"{'date_created': '2013-7-20', 'id': 1609002871, 'followers': 605, 'friends': 1020}",Tesla,0.0
1331912012671041536,@stevenmarkryan You will need a vinyl recorder for your Tesla.,[],2020-11-26,0,"{'date_created': '2019-9-02', 'id': 1168581203902881792, 'followers': 420, 'friends': 162}",Tesla,0.0
